JsonName,length,vidName
12162020_BR_CClass_20201120_1-output.json,56,cclass_br_tp_pd_asphalt_na_combocontrast_a95m_na_lowlight_na_8klux_na_parkingclutter_1_static_0kmh_pedestrian_1-5kmh_na_0m_na_112020_Main_0001.vid
12162020_BR_CClass_20201120_2-output.json,64,cclass_br_tp_pd_asphalt_na_combocontrast_a95m_na_lowlight_na_8klux_na_parkingclutter_1_static_0kmh_pedestrian_1-5kmh_na_2m_na_112020_Main_0001.vid
